Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
asian-plateau-blend,Asian Plateau Blend,"A medium roast containing blended coffees of Southeast Asia offering herbal flavor notes and a heavy body. This coffee offers consistent flavor, a strong aroma and is best as a hot coffee drink. Grown under the full sun with washed processing that is environmentally friendly.",Mangy Dog Coffee,,"",blend,true,Grind,Espresso,,Size,12oz,,,,,CVARASIAN PLATEAU BLEND-ES-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0687/4116/9339/files/LABEL2_12oz_on_bag_80c90f77-4b77-4067-b85b-d70cfc355993.jpg?v=1762966227,1,"",false,,,,oz,,16.40,active
asian-plateau-blend,,,,,,,,,Espresso,,,1 LB,,,,,CVARASIAN PLATEAU BLEND-ES-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
asian-plateau-blend,,,,,,,,,Espresso,,,2 LB,,,,,CVARASIAN PLATEAU BLEND-ES-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,29.60,
asian-plateau-blend,,,,,,,,,Espresso,,,5 LB,,,,,CVARASIAN PLATEAU BLEND-ES-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
asian-plateau-blend,,,,,,,,,Standard,,,12oz,,,,,CVARASIAN PLATEAU BLEND-ST-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.40,
asian-plateau-blend,,,,,,,,,Standard,,,1 LB,,,,,CVARASIAN PLATEAU BLEND-ST-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
asian-plateau-blend,,,,,,,,,Standard,,,2 LB,,,,,CVARASIAN PLATEAU BLEND-ST-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,29.60,
asian-plateau-blend,,,,,,,,,Standard,,,5 LB,,,,,CVARASIAN PLATEAU BLEND-ST-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
asian-plateau-blend,,,,,,,,,Whole Bean,,,12oz,,,,,CVARASIAN PLATEAU BLEND-WH-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.40,
asian-plateau-blend,,,,,,,,,Whole Bean,,,1 LB,,,,,CVARASIAN PLATEAU BLEND-WH-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
asian-plateau-blend,,,,,,,,,Whole Bean,,,2 LB,,,,,CVARASIAN PLATEAU BLEND-WH-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,29.60,
asian-plateau-blend,,,,,,,,,Whole Bean,,,5 LB,,,,,CVARASIAN PLATEAU BLEND-WH-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
african-kahawa-blend,African Kahawa Blend,"A very complex medium-dark roast of bright full flavor African grown coffees. Enjoy hints of toffee, caramel, chocolate, raisins, green apples, red fruits and even hints of cherries and black currant with a soft floral finish. Coffee cherries are often processed by hand at the home of the farmers after being hand picked. Quality standards are high and farmers adhere to these strict standards with environmentally friendly processing, washing the beans and leaving in the sun to dry, then hand sorting and packaging.",Mangy Dog Coffee,,"",blend,true,Grind,Espresso,,Size,12oz,,,,,CVARAFRICAN KAHAWA BLEND-ES-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0687/4116/9339/files/LABEL2_12oz_on_bag_eb5be362-9a51-4942-8965-31eb2b37645a.jpg?v=1762966231,1,"",false,,,,oz,,16.40,active
african-kahawa-blend,,,,,,,,,Espresso,,,1 LB,,,,,CVARAFRICAN KAHAWA BLEND-ES-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
african-kahawa-blend,,,,,,,,,Espresso,,,2 LB,,,,,CVARAFRICAN KAHAWA BLEND-ES-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
african-kahawa-blend,,,,,,,,,Espresso,,,5 LB,,,,,CVARAFRICAN KAHAWA BLEND-ES-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
african-kahawa-blend,,,,,,,,,Standard,,,12oz,,,,,CVARAFRICAN KAHAWA BLEND-ST-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.40,
african-kahawa-blend,,,,,,,,,Standard,,,1 LB,,,,,CVARAFRICAN KAHAWA BLEND-ST-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
african-kahawa-blend,,,,,,,,,Standard,,,2 LB,,,,,CVARAFRICAN KAHAWA BLEND-ST-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
african-kahawa-blend,,,,,,,,,Standard,,,5 LB,,,,,CVARAFRICAN KAHAWA BLEND-ST-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
african-kahawa-blend,,,,,,,,,Whole Bean,,,12oz,,,,,CVARAFRICAN KAHAWA BLEND-WH-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.40,
african-kahawa-blend,,,,,,,,,Whole Bean,,,1 LB,,,,,CVARAFRICAN KAHAWA BLEND-WH-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
african-kahawa-blend,,,,,,,,,Whole Bean,,,2 LB,,,,,CVARAFRICAN KAHAWA BLEND-WH-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
african-kahawa-blend,,,,,,,,,Whole Bean,,,5 LB,,,,,CVARAFRICAN KAHAWA BLEND-WH-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
house-blend,House Blend,"A medium roast blend of select coffees from Central and South America that is smooth, clean and consistent for a flavorful cup every time. Features a medium body with tasting notes that include nutty, sweet chocolate, mild citrus and a clean bright finish. These blended coffees are both natural/dry processed and wet mill washed/sun dried. These techniques are friendly to the environment, the rain forests and the living creatures of the high elevation mountains where these coffees are grown.",Mangy Dog Coffee,,"",blend,true,Grind,Espresso,,Size,12oz,,,,,CVARHOUSE BLEND-ES-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0687/4116/9339/files/LABEL2_12oz_on_bag_93512972-dcdd-498a-aab2-fd5f32bd991c.jpg?v=1762966239,1,"",false,,,,oz,,16.40,active
house-blend,,,,,,,,,Espresso,,,1 LB,,,,,CVARHOUSE BLEND-ES-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
house-blend,,,,,,,,,Espresso,,,2 LB,,,,,CVARHOUSE BLEND-ES-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
house-blend,,,,,,,,,Espresso,,,5 LB,,,,,CVARHOUSE BLEND-ES-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
house-blend,,,,,,,,,Standard,,,12oz,,,,,CVARHOUSE BLEND-ST-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.40,
house-blend,,,,,,,,,Standard,,,1 LB,,,,,CVARHOUSE BLEND-ST-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
house-blend,,,,,,,,,Standard,,,2 LB,,,,,CVARHOUSE BLEND-ST-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
house-blend,,,,,,,,,Standard,,,5 LB,,,,,CVARHOUSE BLEND-ST-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
house-blend,,,,,,,,,Whole Bean,,,12oz,,,,,CVARHOUSE BLEND-WH-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.40,
house-blend,,,,,,,,,Whole Bean,,,1 LB,,,,,CVARHOUSE BLEND-WH-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.40,
house-blend,,,,,,,,,Whole Bean,,,2 LB,,,,,CVARHOUSE BLEND-WH-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,26.60,
house-blend,,,,,,,,,Whole Bean,,,5 LB,,,,,CVARHOUSE BLEND-WH-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,63.50,
